record,Bullied_on_school_property_in_past_12_months,Age,Sex,Felt Lonely,Close Friends,Other Students Kind and Helpful
1,Yes,13 years old,Female,Always,2,Never
2,No,13 years old,Female,Never,3 or more,Sometimes
3,No,14 years old,Male,Never,3 or more,Sometimes
4,No,16 years old,Male,Never,3 or more,Sometimes
5,No,13 years old,Female,Rarely,3 or more,Most of the time
6,No,13 years old,Male,Never,3 or more,Most of the time
7,No,14 years old,Female,Sometimes,3 or more,Most of the time
8,No,12 years old,Female,Rarely,3 or more,Most of the time
9,No,13 years old,Male,Never,3 or more,Most of the time
10,Yes,14 years old,Female,Always,0,Sometimes
11,No,15 years old,Male,Never,3 or more,Most of the time
12,Yes,13 years old,Female,Sometimes,3 or more,Never
13,No,13 years old,Female,Sometimes,3 or more,Sometimes
14,No,14 years old,Female,Rarely,3 or more, 
15,No,14 years old,Female,Most of the time,3 or more,Sometimes
16,No,13 years old,Female,Always,3 or more,Sometimes
17,No,11 years old or younger,Male,Never,3 or more,Always
18,No,13 years old,Male,Never,0,Sometimes
19,Yes,14 years old,Female,Rarely,3 or more,Rarely
20,No,13 years old,Male,Never,3 or more,Never
21,No,13 years old,Female,Sometimes,3 or more,Most of the time
22, ,14 years old,Male,Never,2,Rarely
23,No,13 years old,Male,Most of the time,3 or more,Rarely
24,No,14 years old,Male,Most of the time,2,Always
25,No,13 years old,Male,Never,3 or more,Sometimes
26,No,13 years old,Female,Sometimes,0,Rarely
27,No,13 years old,Male,Never,3 or more,Most of the time
28,No,14 years old,Female,Always,3 or more,Always
29,No,14 years old,Male, ,3 or more,Rarely
30,Yes,13 years old,Male,Rarely,2,Sometimes
31,No,13 years old,Female,Rarely,3 or more, 
32,No,13 years old,Female,Never,3 or more,Most of the time
33,Yes,14 years old,Female,Sometimes, ,Sometimes
34,No,14 years old,Female,Never,3 or more,Always
35,Yes,14 years old,Female,Most of the time,2,Rarely
36,No,14 years old,Male,Never,3 or more,Always
37,No,13 years old,Female,Rarely,1,Rarely
38,No,13 years old,Male,Rarely,3 or more,Always
39,Yes,14 years old,Female,Most of the time,3 or more, 
40,No,13 years old,Female,Rarely,3 or more,Most of the time
41,Yes,13 years old,Female,Most of the time,3 or more, 
42,Yes,13 years old,Male,Rarely,3 or more,Most of the time
43,Yes,15 years old,Male,Never,3 or more,Never
44,No,14 years old,Female,Never,3 or more,Always
45, ,16 years old,Female,Rarely,3 or more, 
46,Yes,13 years old,Female,Sometimes,3 or more,Rarely
47,No,13 years old,Male,Never,3 or more,Never
48,No,15 years old,Female,Sometimes,3 or more,Sometimes
49,No,14 years old,Female,Rarely,3 or more,Sometimes
50,No,16 years old,Male,Rarely,3 or more,Sometimes
51,No,16 years old,Male,Never,3 or more,Most of the time
52,No,14 years old,Female,Sometimes,3 or more,Never
53,No,14 years old,Female,Rarely,3 or more,Sometimes
54,Yes,15 years old,Male,Rarely,3 or more,Most of the time
55,No,16 years old,Male,Most of the time,0,Sometimes
56,Yes,14 years old,Female,Never,3 or more,Rarely
57,No,15 years old,Male,Rarely,3 or more,Rarely
58,No,15 years old,Male,Rarely,3 or more,Most of the time
59,No,16 years old,Male,Never,3 or more,Most of the time
60,Yes,15 years old,Female,Rarely,3 or more,Most of the time
61,No,15 years old,Female,Always,3 or more,Sometimes
62,No,15 years old,Female,Sometimes,3 or more,Most of the time
63,No,15 years old,Female,Sometimes,1,Rarely
64,No,15 years old,Female,Never,3 or more,Rarely
65,No,16 years old,Female,Most of the time,3 or more,Most of the time
